date,description,amount,balance,category
2026-02-01,Nomina,2370.00,3540.00,Ingresos
2026-02-03,Transferencia ahorro,-247.00,3293.00,Ahorro
2026-02-05,Alquiler vivienda,-830.00,2463.00,Vivienda
2026-02-08,Supermercado,-125.00,2338.00,Alimentacion
2026-02-10,Factura suministros,-69.00,2269.00,Suministros
2026-02-14,Gasolina,-70.00,2199.00,Transporte
2026-02-18,Restaurante y ocio,-43.00,2156.00,Ocio
2026-02-22,Farmacia,-20.80,2135.20,Salud
2026-02-25,Cuota gimnasio,-34.40,2100.80,Bienestar
2026-02-27,Reembolso gastos,39.00,2139.80,Ingresos
2026-02-28,Intereses cuenta,6.50,2146.30,Ingresos
