date,description,amount,balance,category
2025-11-01,Nomina,2495.00,3545.00,Ingresos
2025-11-03,Transferencia ahorro,-280.00,3265.00,Ahorro
2025-11-05,Alquiler vivienda,-870.00,2395.00,Vivienda
2025-11-08,Supermercado,-138.00,2257.00,Alimentacion
2025-11-10,Factura suministros,-76.00,2181.00,Suministros
2025-11-14,Gasolina,-72.00,2109.00,Transporte
2025-11-18,Restaurante y ocio,-55.00,2054.00,Ocio
2025-11-22,Farmacia,-26.80,2027.20,Salud
2025-11-25,Cuota gimnasio,-36.20,1991.00,Bienestar
2025-11-27,Reembolso gastos,69.00,2060.00,Ingresos
2025-11-28,Intereses cuenta,8.85,2068.85,Ingresos
